Name,HP,S/M,Skl,Spd,Lck,Def,Res
Eirika,70,40,60,60,60,30,30
Seth,90,50,45,45,25,40,30
Franz,80,40,40,50,40,25,20
Gilliam,90,45,35,30,30,55,20
Moulder,70,40,50,40,20,25,25
Vanessa,50,35,55,60,50,20,30
Ross,70,50,35,30,40,25,20
Garcia,80,65,40,20,40,25,15
Neimi,55,45,50,60,50,15,35
Colm,75,40,40,65,45,25,20
Artur,55,50,50,40,25,15,55
Lute,45,65,30,45,45,15,40
Natasha,50,60,25,40,60,15,55
Joshua,80,35,55,55,30,20,20
Ephraim,80,55,55,45,50,35,25
Forde,85,40,50,45,35,20,25
Kyle,90,50,40,40,20,25,20
Tana,65,45,40,65,60,20,25
Amelia,60,35,40,40,50,30,15
Innes,75,40,40,45,45,20,25
,,,,,,,
